created_at,created_at_stamp,favorite_count,is_retweet,name,retweet_count,screen_name,text,tweet_id,tweet_url,utc_offset
Wed May 31 19:02:33 +0000 2017,2017-05-31 19:02:33,2,0,The Sun,0,TheSun,Vicky Pattison shows off her abs after detox 😮 https://t.co/cWIWG7ImWs https://t.co/TcHTVGOKd4,869992514819833857,https://twitter.com/TheSun/status/869992514819833857,3600
Wed May 31 19:02:18 +0000 2017,2017-05-31 19:02:18,28,0,The Independent,22,Independent,Partner of police officer who was killed by Islamic extremist in Paris has married him posthumously https://t.co/GR2r99pJF7,869992451934572544,https://twitter.com/Independent/status/869992451934572544,3600
Wed May 31 19:01:25 +0000 2017,2017-05-31 19:01:25,7,0,The Guardian,22,guardian,Woman seeking asylum in Canada dies of hypothermia near US border https://t.co/1IpLYmKiXA,869992226985615360,https://twitter.com/guardian/status/869992226985615360,3600
Wed May 31 19:01:05 +0000 2017,2017-05-31 19:01:05,52,0,The Associated Press,50,AP,Connecticut man who killed his 7-month-old son when he threw boy off a 90-foot-high bridge gets 70 years in prison. https://t.co/8sDiFaHYNa,869992142793580545,https://twitter.com/AP/status/869992142793580545,-14400
Wed May 31 19:01:03 +0000 2017,2017-05-31 19:01:03,3,0,The Boston Globe,0,BostonGlobe,President Trump caught everyone’s attention early Wednesday with a rather curious tweet https://t.co/beHUZImRDy… https://t.co/3Vuaa7rupS,869992136556638208,https://twitter.com/BostonGlobe/status/869992136556638208,-14400
Wed May 31 19:01:00 +0000 2017,2017-05-31 19:01:00,0,1,CNET,3,CNET,RT @roadshow: Jaguar Land Rover wants to communicate with devices in sounds humans can't hear. https://t.co/yyCfuaPLcw https://t.co/rWqwovj…,869992124376371200,https://twitter.com/CNET/status/869992124376371200,-25200
Wed May 31 19:00:47 +0000 2017,2017-05-31 19:00:47,2,0,Businessweek,1,BW,Three Mile Island’s shutdown may be a sign of the nuclear power industry's demise https://t.co/hlj9tPstoh https://t.co/GD2DrERY1Q,869992066889129984,https://twitter.com/BW/status/869992066889129984,-14400
Wed May 31 19:00:46 +0000 2017,2017-05-31 19:00:46,6,0,Bloomberg,4,business,Alphabet's driverless ambitions looked stalled... then it sued Uber https://t.co/qNkKMcXk9v https://t.co/1T9uCWEW7Y,869992063437336581,https://twitter.com/business/status/869992063437336581,-14400
Wed May 31 19:00:44 +0000 2017,2017-05-31 19:00:44,9,0,USA TODAY,11,USATODAY,Dog flu found in Florida for first time. https://t.co/Euw2K1h8FT,869992054956470272,https://twitter.com/USATODAY/status/869992054956470272,-14400
Wed May 31 19:00:34 +0000 2017,2017-05-31 19:00:34,35,0,BBC News (UK),31,BBCNews,"We're streaming our BBC #GE2017 Election debate 
LIVE on Twitter now

👀 https://t.co/mPZikem8Ht  
💬  #bbcdebate",869992012463865857,https://twitter.com/BBCNews/status/869992012463865857,3600
Wed May 31 19:00:33 +0000 2017,2017-05-31 19:00:33,4,0,The Times of London,2,thetimes,"Across China and Taiwan celebrations have been taking place for the annual Duanwu Festival, including the tradition… https://t.co/iPzFALPpw4",869992011549560832,https://twitter.com/thetimes/status/869992011549560832,3600
Wed May 31 19:00:23 +0000 2017,2017-05-31 19:00:23,16,0,TIME,9,TIME,The weight loss trap: why your diet isn’t working https://t.co/nPpvmXCVu4,869991969644191744,https://twitter.com/TIME/status/869991969644191744,-14400
Wed May 31 19:00:17 +0000 2017,2017-05-31 19:00:17,149,0,The New York Times,126,nytimes,"“Wonder Woman” has been banned in Lebanon because its lead actress, Gal Gadot, is from Israel https://t.co/qutjuxdXBJ",869991944163930114,https://twitter.com/nytimes/status/869991944163930114,-14400
Wed May 31 19:00:12 +0000 2017,2017-05-31 19:00:12,11,0,Wall Street Journal,15,WSJ,NYPD sergeant charged with fatally shooting emotionally disturbed woman https://t.co/pnQXS7JJDR,869991922722643968,https://twitter.com/WSJ/status/869991922722643968,-14400
Wed May 31 19:00:10 +0000 2017,2017-05-31 19:00:10,141,0,ABC News,69,ABC,Carriage horse breaks loose and runs through the streets of NYC before eventually returning to the stable on her ow… https://t.co/XBgR7CaWLS,869991915344744448,https://twitter.com/ABC/status/869991915344744448,-14400
Wed May 31 19:00:07 +0000 2017,2017-05-31 19:00:07,17,0,Al Jazeera English,27,AJEnglish,Thousands rally in Morocco's northern Rif region demanding the release of protest leader Nasser Zefzafi… https://t.co/FER12UiPhT,869991900908056577,https://twitter.com/AJEnglish/status/869991900908056577,3600
Wed May 31 19:00:05 +0000 2017,2017-05-31 19:00:05,15,0,The Telegraph,9,Telegraph,Swiss village bans tourists from taking pictures - prompting group to cancel photography trip… https://t.co/zpeKP6k7xZ,869991890619293697,https://twitter.com/Telegraph/status/869991890619293697,3600
Wed May 31 18:59:12 +0000 2017,2017-05-31 18:59:12,688,0,BBC News (UK),414,BBCNews,Audience applauds Corbyn &amp; boos Nuttall as they discuss food banks &amp; corporation tax #BBCDebate… https://t.co/gu4BmmG1b1,869991671865331712,https://twitter.com/BBCNews/status/869991671865331712,3600
Wed May 31 18:59:04 +0000 2017,2017-05-31 18:59:04,43,0,Wall Street Journal,33,WSJ,The Warriors and Cavaliers benefited from hundreds of little things and several big things breaking their way https://t.co/HRFyooPTay,869991638361419776,https://twitter.com/WSJ/status/869991638361419776,-14400
Wed May 31 18:59:02 +0000 2017,2017-05-31 18:59:02,25,0,The Telegraph,18,Telegraph,Jeremy Corbyn asks Amber Rudd if she has ever been to a food bank #BBCDebate https://t.co/sY7diq6cvw https://t.co/rXTA3flZZN,869991628823384064,https://twitter.com/Telegraph/status/869991628823384064,3600
